Required,Required,Required,Required,Required
10,1,2,1,1
EOS110,EOS300,EOS335,EOS450,EOS440
EOS120,,EOS410,GEOG476,GEOG370
EOS201,,EOS425,,
EOS202,,EOS480,,
EOS205,,,,
EOS210,,,,
EOS240,,,,
EOS225,,,,
EOS316,,,,
EOS340,,,,
