Required,Required,Required,Required,Required
1,1,2,1,1
CHEM101,CHEM102,MATH100,PHYS102A,PHYS102B
CHEM150,,MATH101,PHYS110,PHYS111
,,MATH102,PHYS112A,PHYS112B
,,MATH109,PHYS120,PHYS130
,,MATH151,,
